loan_id,customer_id,loan_amount,interest_rate,start_date,end_date,status
1,7,42202.06,5.54,2023-03-15,2025-04-08,defaulted
2,65,27376.78,13.71,2021-08-24,2023-04-07,active
3,466,10799.21,10.7,2022-07-31,2026-07-25,active
4,196,13938.46,5.72,2024-11-13,2027-03-01,closed
5,190,30576.73,6.14,2023-11-08,2026-01-17,closed
6,283,40803.96,3.95,2024-06-11,2027-02-22,active
7,203,2939.66,6.89,2022-09-03,2023-02-24,defaulted
8,321,20718.42,7.83,2022-05-27,2026-11-29,closed
9,292,27512.06,14.89,2022-05-08,2025-11-24,closed
10,347,32092.39,11.2,2021-04-24,2024-04-11,defaulted
11,102,26831.78,4.12,2022-01-22,2026-05-08,defaulted
12,217,39249.15,7.72,2023-12-22,2026-08-31,defaulted
13,25,1318.1,6.85,2023-09-20,2024-12-29,closed
14,106,30634.36,13.3,2025-05-10,2027-01-16,active
15,108,13330.55,8.18,2020-11-19,2021-01-17,closed
16,199,23705.29,11.68,2022-11-24,2024-11-11,closed
17,444,30077.0,9.83,2024-04-29,2027-07-09,defaulted
18,457,37075.75,9.26,2022-07-24,2027-02-09,closed
19,374,35955.92,11.69,2021-04-15,2023-10-03,defaulted
20,427,30308.73,4.39,2020-10-22,2026-11-22,defaulted
21,180,49033.6,13.66,2022-03-17,2024-08-03,defaulted
22,138,12094.94,5.15,2024-02-11,2024-09-17,defaulted
23,281,19365.92,3.11,2023-03-18,2025-06-01,defaulted
24,459,19553.88,7.59,2021-04-29,2022-09-15,defaulted
25,79,7396.85,9.26,2023-03-24,2026-11-09,defaulted
26,253,19391.51,6.13,2024-11-06,2025-07-11,defaulted
27,385,38045.52,13.59,2023-12-07,2027-01-26,defaulted
28,72,6560.95,5.77,2024-11-28,2026-08-05,closed
29,305,44366.27,4.2,2023-03-04,2024-04-30,defaulted
30,275,14766.89,6.02,2025-08-12,2025-11-03,closed
31,352,16023.39,12.12,2023-01-07,2024-11-30,defaulted
32,189,14549.72,3.05,2024-05-17,2024-06-30,closed
33,79,36795.17,9.37,2021-02-15,2021-04-03,closed
34,112,12220.3,12.13,2024-09-01,2027-04-10,defaulted
35,443,47387.06,13.32,2020-08-20,2027-04-21,active
36,411,8197.7,11.03,2021-02-09,2027-06-12,active
37,359,32889.84,3.57,2021-04-02,2023-05-16,closed
38,146,43186.12,10.54,2023-03-16,2024-05-15,defaulted
39,388,35399.25,8.22,2021-10-13,2023-08-03,active
40,89,13470.07,5.84,2022-10-21,2024-05-23,closed
41,364,25638.85,7.22,2022-04-29,2025-12-15,closed
42,58,14137.4,7.6,2024-08-18,2026-04-17,closed
43,364,48846.82,13.98,2024-07-12,2027-06-20,active
44,229,36573.18,12.78,2020-09-26,2025-04-04,defaulted
