payment_id,loan_id,payment_date,payment_amount,payment_status
PAY00001,695,2023-04-16,650.06,completed
PAY00002,902,2023-04-24,238.68,failed
PAY00003,839,2022-01-23,1673.06,failed
PAY00004,74,2021-07-01,401.03,failed
PAY00005,201,2021-07-10,1269.84,failed
PAY00006,57,2025-03-30,250.74,completed
PAY00007,463,2023-10-08,92.73,failed
PAY00008,745,2024-04-07,1529.47,failed
PAY00009,286,2022-05-02,763.42,pending
PAY00010,567,2022-05-27,600.64,failed
PAY00011,127,2021-08-22,1216.33,pending
PAY00012,205,2021-09-03,1385.33,pending
PAY00013,700,2022-02-07,1942.79,completed
PAY00014,367,2022-04-07,1792.77,failed
PAY00015,311,2023-01-14,1217.05,pending
PAY00016,124,2024-11-16,426.27,pending
PAY00017,130,2023-02-24,1935.9,completed
PAY00018,193,2025-01-13,527.53,completed
PAY00019,491,2022-08-20,208.32,failed
PAY00020,213,2021-01-25,779.52,failed
PAY00021,562,2024-03-01,1561.29,failed
PAY00022,181,2023-09-05,869.1,completed
PAY00023,314,2020-09-07,91.99,pending
PAY00024,950,2023-11-11,500.76,failed
PAY00025,48,2022-07-24,196.61,completed
PAY00026,718,2024-05-30,214.5,failed
PAY00027,292,2024-07-16,1328.0,completed
PAY00028,249,2021-02-21,1679.42,completed
PAY00029,67,2021-08-09,1131.9,failed
PAY00030,628,2024-09-09,131.87,pending
PAY00031,347,2021-05-31,1829.67,completed
PAY00032,599,2023-01-18,417.68,pending
PAY00033,321,2021-10-25,1188.13,completed
PAY00034,404,2025-06-21,1217.0,pending
PAY00035,503,2023-06-11,1972.0,pending
PAY00036,810,2022-08-26,829.09,completed
PAY00037,769,2022-01-31,530.84,completed
PAY00038,310,2022-12-29,936.25,pending
PAY00039,369,2025-01-31,1014.11,failed
PAY00040,852,2025-03-14,109.54,failed
PAY00041,735,2024-03-04,1170.5,failed
PAY00042,894,2022-01-09,308.25,failed
PAY00043,773,2023-02-16,766.65,pending
PAY00044,957,2023-04-13,526.49,failed
PAY00045,990,2023-06-12,724.08,completed
PAY00046,751,2023-07-10,460.38,failed
PAY00047,426,2021-11-18,894.48,failed
PAY00048,105,2025-03-01,1185.07,pending
PAY00049,822,2021-02-11,1182.54,pending
PAY00050,779,2023-06-22,1100.62,failed
PAY00051,719,2022-04-10,1451.83,failed
PAY00052,368,2023-12-18,727.41,pending
PAY00053,68,2025-01-11,1643.37,completed
PAY00054,274,2021-07-07,1782.5,failed
